GOOGL,DATE
735.86,2016-06-03
730.06,2016-06-06
731.09,2016-06-07
742.93,2016-06-08
742.52,2016-06-09
733.19,2016-06-10
731.88,2016-06-13
733.25,2016-06-14
732.19,2016-06-15
724.25,2016-06-16
704.26,2016-06-17
706.13,2016-06-20
708.88,2016-06-21
710.82,2016-06-22
714.87,2016-06-23
685.28,2016-06-24
681.14,2016-06-27
691.26,2016-06-28
695.19,2016-06-29
703.53,2016-06-30
710.25,2016-07-01
704.89,2016-07-05
708.97,2016-07-06
707.26,2016-07-07
717.78,2016-07-08
727.04,2016-07-11
732.51,2016-07-12
729.48,2016-07-13
735.78,2016-07-14
735.63,2016-07-15
753.2,2016-07-18
753.41,2016-07-19
757.08,2016-07-20
754.41,2016-07-21
759.28,2016-07-22
757.52,2016-07-25
757.65,2016-07-26
761.97,2016-07-27
765.84,2016-07-28
791.34,2016-07-29
801.23,2016-08-01
800.12,2016-08-02
798.82,2016-08-03
797.25,2016-08-04
806.93,2016-08-05
805.23,2016-08-08
807.48,2016-08-09
808.49,2016-08-10
808.2,2016-08-11
807.05,2016-08-12
805.96,2016-08-15
801.19,2016-08-16
805.42,2016-08-17
802.75,2016-08-18
799.65,2016-08-19
796.95,2016-08-22
796.59,2016-08-23
793.6,2016-08-24
791.3,2016-08-25
793.22,2016-08-26
795.82,2016-08-29
791.92,2016-08-30
789.85,2016-08-31
791.4,2016-09-01
796.87,2016-09-02
808.02,2016-09-06
807.99,2016-09-07
802.84,2016-09-08
788.48,2016-09-09
799.0,2016-09-12
788.72,2016-09-13
790.505,2016-09-14
801.29,2016-09-15
797.97,2016-09-16
795.39,2016-09-19
799.78,2016-09-20
804.56,2016-09-21
815.95,2016-09-22
814.96,2016-09-23
802.52,2016-09-26
810.73,2016-09-27
810.06,2016-09-28
802.64,2016-09-29
804.06,2016-09-30
800.38,2016-10-03
802.79,2016-10-04
801.23,2016-10-05
803.08,2016-10-06
800.71,2016-10-07
814.38,2016-10-10
809.57,2016-10-11
811.77,2016-10-12
804.08,2016-10-13
804.6,2016-10-14
806.84,2016-10-17
821.49,2016-10-18
827.09,2016-10-19
821.63,2016-10-20
824.06,2016-10-21
835.74,2016-10-24
828.55,2016-10-25
822.1,2016-10-26
817.35,2016-10-27
819.56,2016-10-28
809.9,2016-10-31
805.48,2016-11-01
788.42,2016-11-02
782.19,2016-11-03
781.1,2016-11-04
802.03,2016-11-07
811.98,2016-11-08
805.59,2016-11-09
780.29,2016-11-10
771.75,2016-11-11
753.22,2016-11-14
775.16,2016-11-15
779.98,2016-11-16
786.16,2016-11-17
775.97,2016-11-18
785.41,2016-11-21
785.0,2016-11-22
779.0,2016-11-23
780.15,2016-11-25
785.79,2016-11-28
789.44,2016-11-29
775.88,2016-11-30
764.33,2016-12-01
764.46,2016-12-02
778.22,2016-12-05
776.18,2016-12-06
791.47,2016-12-07
795.14,2016-12-08
809.45,2016-12-09
807.323,2016-12-12
815.34,2016-12-13
817.89,2016-12-14
815.65,2016-12-15
809.84,2016-12-16
812.51,2016-12-19
815.2,2016-12-20
812.2,2016-12-21
809.68,2016-12-22
807.8,2016-12-23
809.93,2016-12-27
804.57,2016-12-28
802.83,2016-12-29
792.45,2016-12-30
808.01,2017-01-03
807.77,2017-01-04
813.02,2017-01-05
825.21,2017-01-06
827.18,2017-01-09
826.01,2017-01-10
829.86,2017-01-11
829.53,2017-01-12
830.93,2017-01-13
827.46,2017-01-17
829.02,2017-01-18
824.37,2017-01-19
828.17,2017-01-20
844.43,2017-01-23
849.53,2017-01-24
858.45,2017-01-25
856.98,2017-01-26
845.03,2017-01-27
823.83,2017-01-30
820.19,2017-01-31
815.24,2017-02-01
818.26,2017-02-02
820.13,2017-02-03
821.62,2017-02-06
829.23,2017-02-07
829.88,2017-02-08
830.06,2017-02-09
834.85,2017-02-10
838.96,2017-02-13
840.09,2017-02-14
837.32,2017-02-15
842.17,2017-02-16
846.55,2017-02-17
849.27,2017-02-21
851.36,2017-02-22
851.0,2017-02-23
847.81,2017-02-24
849.67,2017-02-27
844.93,2017-02-28
856.61,2017-03-01
849.85,2017-03-02
849.08,2017-03-03
847.27,2017-03-06
851.15,2017-03-07
853.64,2017-03-08
857.84,2017-03-09
861.405,2017-03-10
864.58,2017-03-13
865.91,2017-03-14
868.39,2017-03-15
870.0,2017-03-16
872.37,2017-03-17
867.91,2017-03-20
850.14,2017-03-21
849.8,2017-03-22
839.65,2017-03-23
835.15,2017-03-24
838.51,2017-03-27
840.63,2017-03-28
849.87,2017-03-29
849.48,2017-03-30
847.8,2017-03-31
856.75,2017-04-03
852.57,2017-04-04
848.91,2017-04-05
845.095,2017-04-06
842.1,2017-04-07
841.7,2017-04-10
839.88,2017-04-11
841.46,2017-04-12
840.18,2017-04-13
855.13,2017-04-17
853.99,2017-04-18
856.51,2017-04-19
860.09,2017-04-20
858.95,2017-04-21
878.93,2017-04-24
888.84,2017-04-25
889.14,2017-04-26
891.44,2017-04-27
924.52,2017-04-28
932.82,2017-05-01
937.09,2017-05-02
948.45,2017-05-03
954.72,2017-05-04
950.28,2017-05-05
958.69,2017-05-08
956.69,2017-05-09
954.84,2017-05-10
955.89,2017-05-11
955.14,2017-05-12
959.22,2017-05-15
964.61,2017-05-16
942.17,2017-05-17
950.5,2017-05-18
954.65,2017-05-19
964.07,2017-05-22
970.55,2017-05-23
977.61,2017-05-24
991.86,2017-05-25
993.27,2017-05-26
996.17,2017-05-30
987.09,2017-05-31
988.29,2017-06-01
996.12,2017-06-02
1003.88,2017-06-05
996.68,2017-06-06
1001.59,2017-06-07
1004.28,2017-06-08
970.12,2017-06-09
961.81,2017-06-12
970.5,2017-06-13
967.93,2017-06-14
960.18,2017-06-15
958.62,2017-06-16
975.22,2017-06-19
968.99,2017-06-20
978.59,2017-06-21
976.62,2017-06-22
986.09,2017-06-23
972.09,2017-06-26
948.09,2017-06-27
961.01,2017-06-28
937.82,2017-06-29
929.61,2017-06-30
919.46,2017-07-03
932.26,2017-07-05
927.69,2017-07-06
940.81,2017-07-07
951.0,2017-07-10
953.53,2017-07-11
967.66,2017-07-12
968.85,2017-07-13
976.91,2017-07-14
975.96,2017-07-17
986.95,2017-07-18
992.77,2017-07-19
992.19,2017-07-20
993.84,2017-07-21
998.31,2017-07-24
969.03,2017-07-25
965.31,2017-07-26
952.51,2017-07-27
958.2,2017-07-28
945.5,2017-07-31
946.56,2017-08-01
947.64,2017-08-02
940.3,2017-08-03
945.79,2017-08-04
945.75,2017-08-07
944.19,2017-08-08
940.08,2017-08-09
923.59,2017-08-10
930.09,2017-08-11
938.93,2017-08-14
938.08,2017-08-15
944.27,2017-08-16
927.66,2017-08-17
926.18,2017-08-18
920.87,2017-08-21
940.4,2017-08-22
942.58,2017-08-23
936.89,2017-08-24
930.5,2017-08-25
928.13,2017-08-28
935.75,2017-08-29
943.63,2017-08-30
955.24,2017-08-31
951.99,2017-09-01
941.48,2017-09-05
942.02,2017-09-06
949.89,2017-09-07
940.95,2017-09-08
943.29,2017-09-11
946.65,2017-09-12
950.44,2017-09-13
940.13,2017-09-14
935.29,2017-09-15
929.75,2017-09-18
936.86,2017-09-19
947.54,2017-09-20
947.55,2017-09-21
943.26,2017-09-22
934.28,2017-09-25
937.43,2017-09-26
959.9,2017-09-27
964.81,2017-09-28
973.36,2017-09-29
967.47,2017-10-02
972.08,2017-10-03
966.78,2017-10-04
985.19,2017-10-05
993.64,2017-10-06
992.31,2017-10-09
987.8,2017-10-10
1005.65,2017-10-11
1005.65,2017-10-12
1007.87,2017-10-13
1009.35,2017-10-16
1011.0,2017-10-17
1012.74,2017-10-18
1001.84,2017-10-19
1005.07,2017-10-20
985.54,2017-10-23
988.49,2017-10-24
991.46,2017-10-25
991.42,2017-10-26
1033.67,2017-10-27
1033.13,2017-10-30
1033.04,2017-10-31
1042.6,2017-11-01
1042.97,2017-11-02
1049.99,2017-11-03
1042.68,2017-11-06
1052.39,2017-11-07
1058.29,2017-11-08
1047.72,2017-11-09
1044.15,2017-11-10
